CODGEO;EFF_TOT;EFF_AZ;EFF_BE;EFF_FZ;EFF_GU;EFF_OQ;EFF_TOT_1_4;EFF_AZ_1_4;EFF_BE_1_4;EFF_FZ_1_4;EFF_GU_1_4;EFF_OQ_1_4;EFF_TOT_5_9;EFF_AZ_5_9;EFF_BE_5_9;EFF_FZ_5_9;EFF_GU_5_9;EFF_OQ_5_9;EFF_TOT_10_19;EFF_AZ_10_19;EFF_BE_10_19;EFF_FZ_10_19;EFF_GU_10_19;EFF_OQ_10_19;EFF_TOT_20_49;EFF_AZ_20_49;EFF_BE_20_49;EFF_FZ_20_49;EFF_GU_20_49;EFF_OQ_20_49;EFF_TOT_50_99;EFF_AZ_50_99;EFF_BE_50_99;EFF_FZ_50_99;EFF_GU_50_99;EFF_OQ_50_99;EFF_TOT_100_199;EFF_AZ_100_199;EFF_BE_100_199;EFF_FZ_100_199;EFF_GU_100_199;EFF_OQ_100_199;EFF_TOT_200_499;EFF_AZ_200_499;EFF_BE_200_499;EFF_FZ_200_499;EFF_GU_200_499;EFF_OQ_200_499;EFF_TOT_500P;EFF_AZ_500P;EFF_BE_500P;EFF_FZ_500P;EFF_GU_500P;EFF_OQ_500P
59074;371;0;217;9;109;36;47;0;9;9;25;4;21;0;0;0;13;8;28;0;0;0;28;0;99;0;32;0;43;24;50;0;50;0;0;0;126;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59075;92;4;37;6;23;22;15;4;3;0;3;5;6;0;0;6;0;0;17;0;0;0;0;17;54;0;34;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59076;23;1;0;0;17;5;8;1;0;0;7;0;15;0;0;0;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59077;5;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59078;48;2;0;8;22;16;16;2;0;2;8;4;20;0;0;6;14;0;12;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59079;468;2;10;15;110;331;51;2;5;6;33;5;78;0;5;9;26;38;56;0;0;0;22;34;29;0;0;0;29;0;132;0;0;0;0;132;122;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0
59080;567;9;199;48;200;111;63;3;2;12;42;4;91;6;5;14;47;19;80;0;12;0;68;0;153;0;51;22;43;37;51;0;0;0;0;51;129;0;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59081;16;0;2;1;3;10;9;0;2;1;3;3;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59082;980;0;623;77;212;68;49;0;6;10;30;3;76;0;0;24;43;9;30;0;0;0;30;0;197;0;45;43;109;0;204;0;148;0;0;56;190;0;190;0;0;0;234;0;234;0;0;0;0;0;0;0;0;0
59083;21;6;0;6;7;2;10;1;0;0;7;2;11;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59084;483;8;134;31;247;63;56;8;15;0;29;4;69;0;0;13;51;5;56;0;12;18;12;14;151;0;25;0;86;40;151;0;82;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59085;7;0;0;2;1;4;7;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
